pmt,x,y,z,dx,dy,dz
89,-381.070000,29.350000,872.900000,1.0,0.0,0.0
90,-59.360000,-76.250000,-872.900000,-1.0,0.0,0.0
91,-59.360000,29.350000,-872.900000,-1.0,0.0,0.0
92,-59.360000,-129.050000,-823.020000,-1.0,0.0,0.0
93,-59.360000,-23.450000,-823.020000,-1.0,0.0,0.0
94,-59.360000,82.150000,-823.020000,-1.0,0.0,0.0
95,-59.360000,-129.050000,-773.140000,-1.0,0.0,0.0
96,-59.360000,-23.450000,-773.140000,-1.0,0.0,0.0
97,-59.360000,82.150000,-773.140000,-1.0,0.0,0.0
98,-59.360000,-76.250000,-723.260000,-1.0,0.0,0.0
99,-59.360000,29.350000,-723.260000,-1.0,0.0,0.0
100,-59.360000,-76.250000,-673.380000,-1.0,0.0,0.0
101,-59.360000,29.350000,-673.380000,-1.0,0.0,0.0
102,-59.360000,-129.050000,-623.500000,-1.0,0.0,0.0
103,-59.360000,-23.450000,-623.500000,-1.0,0.0,0.0
104,-59.360000,82.150000,-623.500000,-1.0,0.0,0.0
105,-59.360000,-129.050000,-573.620000,-1.0,0.0,0.0
106,-59.360000,-23.450000,-573.620000,-1.0,0.0,0.0
107,-59.360000,82.150000,-573.620000,-1.0,0.0,0.0
108,-59.360000,-76.250000,-523.740000,-1.0,0.0,0.0
109,-59.360000,29.350000,-523.740000,-1.0,0.0,0.0
110,-59.360000,-76.250000,-473.860000,-1.0,0.0,0.0
111,-59.360000,29.350000,-473.860000,-1.0,0.0,0.0
112,-59.360000,-129.050000,-423.980000,-1.0,0.0,0.0
113,-59.360000,-23.450000,-423.980000,-1.0,0.0,0.0
114,-59.360000,82.150000,-423.980000,-1.0,0.0,0.0
115,-59.360000,-129.050000,-374.100000,-1.0,0.0,0.0
116,-59.360000,-23.450000,-374.100000,-1.0,0.0,0.0
117,-59.360000,82.150000,-374.100000,-1.0,0.0,0.0
118,-59.360000,-76.250000,-324.220000,-1.0,0.0,0.0
119,-59.360000,29.350000,-324.220000,-1.0,0.0,0.0
120,-59.360000,-76.250000,-274.340000,-1.0,0.0,0.0
121,-59.360000,29.350000,-274.340000,-1.0,0.0,0.0
122,-59.360000,-129.050000,-224.460000,-1.0,0.0,0.0
123,-59.360000,-23.450000,-224.460000,-1.0,0.0,0.0
124,-59.360000,82.150000,-224.460000,-1.0,0.0,0.0
125,-59.360000,-129.050000,-174.580000,-1.0,0.0,0.0
126,-59.360000,-23.450000,-174.580000,-1.0,0.0,0.0
127,-59.360000,82.150000,-174.580000,-1.0,0.0,0.0
128,-59.360000,-76.250000,-124.700000,-1.0,0.0,0.0
129,-59.360000,29.350000,-124.700000,-1.0,0.0,0.0
130,-59.360000,-76.250000,-74.820000,-1.0,0.0,0.0
131,-59.360000,29.350000,-74.820000,-1.0,0.0,0.0
132,-59.360000,-129.050000,-24.940000,-1.0,0.0,0.0
133,-59.360000,-23.450000,-24.940000,-1.0,0.0,0.0
134,-59.360000,82.150000,-24.940000,-1.0,0.0,0.0
135,-59.360000,-129.050000,24.940000,-1.0,0.0,0.0
136,-59.360000,-23.450000,24.940000,-1.0,0.0,0.0
137,-59.360000,82.150000,24.940000,-1.0,0.0,0.0
138,-59.360000,-76.250000,74.820000,-1.0,0.0,0.0
139,-59.360000,29.350000,74.820000,-1.0,0.0,0.0
140,-59.360000,-76.250000,124.700000,-1.0,0.0,0.0
141,-59.360000,29.350000,124.700000,-1.0,0.0,0.0
142,-59.360000,-129.050000,174.580000,-1.0,0.0,0.0
143,-59.360000,-23.450000,174.580000,-1.0,0.0,0.0
144,-59.360000,82.150000,174.580000,-1.0,0.0,0.0
145,-59.360000,-129.050000,224.460000,-1.0,0.0,0.0
146,-59.360000,-23.450000,224.460000,-1.0,0.0,0.0
147,-59.360000,82.150000,224.460000,-1.0,0.0,0.0
148,-59.360000,-76.250000,274.340000,-1.0,0.0,0.0
149,-59.360000,29.350000,274.340000,-1.0,0.0,0.0
150,-59.360000,-76.250000,324.220000,-1.0,0.0,0.0
151,-59.360000,29.350000,324.220000,-1.0,0.0,0.0
152,-59.360000,-129.050000,374.100000,-1.0,0.0,0.0
153,-59.360000,-23.450000,374.100000,-1.0,0.0,0.0
154,-59.360000,82.150000,374.100000,-1.0,0.0,0.0
155,-59.360000,-129.050000,423.980000,-1.0,0.0,0.0
156,-59.360000,-23.450000,423.980000,-1.0,0.0,0.0
157,-59.360000,82.150000,423.980000,-1.0,0.0,0.0
158,-59.360000,-76.250000,473.860000,-1.0,0.0,0.0
159,-59.360000,29.350000,473.860000,-1.0,0.0,0.0
160,-59.360000,-76.250000,523.740000,-1.0,0.0,0.0
161,-59.360000,29.350000,523.740000,-1.0,0.0,0.0
162,-59.360000,-129.050000,573.620000,-1.0,0.0,0.0
163,-59.360000,-23.450000,573.620000,-1.0,0.0,0.0
164,-59.360000,82.150000,573.620000,-1.0,0.0,0.0
165,-59.360000,-129.050000,623.500000,-1.0,0.0,0.0
166,-59.360000,-23.450000,623.500000,-1.0,0.0,0.0
167,-59.360000,82.150000,623.500000,-1.0,0.0,0.0
168,-59.360000,-76.250000,673.380000,-1.0,0.0,0.0
169,-59.360000,29.350000,673.380000,-1.0,0.0,0.0
170,-59.360000,-76.250000,723.260000,-1.0,0.0,0.0
171,-59.360000,29.350000,723.260000,-1.0,0.0,0.0
172,-59.360000,-129.050000,773.140000,-1.0,0.0,0.0
173,-59.360000,-23.450000,773.140000,-1.0,0.0,0.0
174,-59.360000,82.150000,773.140000,-1.0,0.0,0.0
175,-59.360000,-129.050000,823.020000,-1.0,0.0,0.0
176,-59.360000,-23.450000,823.020000,-1.0,0.0,0.0
177,-59.360000,82.150000,823.020000,-1.0,0.0,0.0
178,-59.360000,-76.250000,872.900000,-1.0,0.0,0.0
179,-59.360000,29.350000,872.900000,-1.0,0.0,0.0
